id,inici,final
dijous,2026-08-27 21:00:00,2026-08-27 23:59:59
gimcana4p,2026-08-28 11:30:00,2026-08-28 13:30:00
correfoc,2026-08-28 22:00:00,2026-08-28 23:30:00
nit de festa,2026-08-28 23:30:00,2026-08-29 3:00:00
matinades,2026-08-29 7:00:00,2026-08-29 9:00:00
cursa,2026-08-29 9:00:00,2026-08-29 11:00:00
holi party,2026-08-29 12:00:00,2026-08-29 13:30:00
gegants,2026-08-29 17:30:00,2026-08-29 19:30:00
havaneres,2026-08-29 22:00:00,2026-08-29 23:59:59
sardanes,2026-08-30 12:00:00,2026-08-30 13:30:00
inflables,2026-08-30 17:00:00,2026-08-30 19:00:00
